Rank,Company Name,Number of Employees,"Change in 
Rank","Revenues
($millions)","Revenue 
Change","Profits
($millions)","Profit 
Change","Assets
($millions)","Market Value 
As of 3/29/19 ($m)"
407,Raymond James Financial,13900,24,7475.8,0.146,856.7,0.347,37412.9,11340.9
408,Casey's General Stores,27561,17,7472.1,0.125,317.9,0.791,3469.9,4716.9
409,Keurig Dr Pepper,25500,9,7442,0.112,586,-0.455,48918,39328.1
410,American Tower,5026,9,7440.1,0.116,1236.4,-0.002,33010.4,86930
411,Apache,3420,27,7424,0.156,40,-0.969,21582,13011.6
412,Dover,24000,-52,7395.8,-0.056,570.3,-0.297,8365.8,13621
413,KeyCorp,18180,-1,7393,0.076,1866,0.44,139613,15888.4
414,J.M. Smucker,7000,-31,7357.1,-0.005,1338.6,1.26,15301.2,13251.5
415,Citizens Financial Group,18140,20,7354,0.139,1721,0.042,160518,14962.7
416,Motorola Solutions,16000,27,7343,0.151,966,-,9409,23089.5
417,Magellan Health,10500,58,7314.2,0.253,24.2,-0.781,2979.1,1577.2
418,American Axle & Manufacturing,25000,31,7270.4,0.16,-57.5,-1.171,7510.7,1599
419,Newmont Goldcorp,12442,-34,7253,-0.013,341,-,20715,19053.6
420,Spirit AeroSystems Holdings,17000,-15,7222,0.034,617,0.739,5685.9,9672.1
421,Western & Southern Financial Group,2769,55,7205,0.235,495,0.594,50635.5,-
422,Fortive,24000,-2,7203.2,0.082,2913.8,1.79,12905.6,28072.2
423,Graybar Electric,8700,3,7202.5,0.086,143.3,1.001,2491.2,-
424,NVR,5600,20,7189.7,0.137,797.2,0.483,3165.9,10036.5
425,Avery Dennison,30000,2,7159,0.082,467.4,0.659,5177.5,9488.9
426,Celanese,7684,29,7155,0.165,1207,0.432,9313,12606.6
427,American Financial Group,7600,-14,7150,0.042,530,0.116,63456,8592.7
428,Toll Brothers,4900,52,7143.3,0.228,748.2,0.397,10244.6,5283
429,Sanmina,41200,-18,7110.1,0.035,-95.5,-1.688,4085.1,1974.2
430,Insight Enterprises,7420,-13,7080.1,0.056,163.7,0.805,2775.9,1954.8
431,Owens Corning,20000,11,7057,0.105,545,0.886,9771,5163.4
432,Packaging Corp. of America,15000,4,7014.6,0.088,738,0.104,6569.7,9391
433,TravelCenters of America,18277,32,6973.6,0.152,-120.6,-14.016,1442.1,166
434,Olin,6500,14,6946.1,0.108,327.9,-0.403,8997.4,3815.5
435,Arthur J. Gallagher,30362,19,6934,0.126,633.5,0.368,16334,14466.1
436,MasTec,19000,-8,6909.4,0.046,259.7,-0.252,4440,3656.9
437,Alleghany,9300,-,6887.2,0.072,39.5,-0.561,25344.9,8854.7
438,Owens-Illinois,26500,-28,6877,0.001,257,0.428,9699,2915.8
439,Asbury Automotive Group,8200,-5,6874.4,0.065,168,0.208,2695.4,1352.5
440,CMS Energy,8291,-11,6873,0.044,657,0.428,24529,15760
441,Markel,17400,23,6841.3,0.129,-128.2,-1.324,33306.3,13813.2
442,Blackstone Group,2615,-44,6833.3,-0.04,1541.8,0.048,28924.7,23030.9
443,AK Steel Holding,9500,18,6818.2,0.121,186,29,4515.7,869.8
444,Hanesbrands,68000,-11,6804,0.05,553.1,7.936,7256,6463.1
445,R.R. Donnelley & Sons,39500,-39,6800.2,-0.02,-11,-,3640.8,332.5
446,Wayfair,12124,-,6779.2,0.436,-504.1,-,1890.9,13524.3
447,Regions Financial,19969,13,6762,0.11,1759,0.393,125688,14401
448,Wynn Resorts,26000,-1,6717.7,0.065,572.4,-0.234,13216.3,12843.5
449,Ulta Beauty,30000,22,6716.6,0.141,658.6,0.186,3191.2,20683.9
450,Regeneron Pharmaceuticals,7400,23,6710.8,0.143,2444.4,1.04,11734.5,44871.4
451,Burlington Stores,44000,8,6668.5,0.091,414.7,0.078,3079.2,10509.6
452,Rockwell Automation,23000,-7,6666,0.056,535.5,-0.351,6262,20975.2
453,Northern Trust,18800,33,6658.9,0.165,1556.4,0.298,132212.5,19754.4
454,Chemours,7000,-3,6638,0.074,995,0.334,7362,6179.1
455,Seaboard,12600,26,6583,0.133,-17,-1.069,5307,5001.5
456,Marathon Oil,2400,-,6582,0.277,1096,-,21321,13677.2
457,Ascena Retail Group,39500,-34,6578.3,-0.011,-39.7,-,3570.5,213.4
458,Dillard's,31005,-19,6503.3,0.013,170.3,-0.231,3431.4,1897.6
459,Cintas,41000,41,6487.4,0.195,842.6,0.753,6958.2,21207.8
460,Advanced Micro Devices,10100,-,6475,0.215,337,6.837,4556,27601.5
461,Hess,1708,-,6466,0.196,-282,-,21433,18251.8
462,M&T Bank Corp.,16840,5,6454.7,0.072,1918.1,0.362,120097.4,21741.2
463,ABM Industries,140000,35,6442.2,0.181,97.8,24.737,3627.5,2407.8
464,Beacon Roofing Supply,8356,-,6418.3,0.466,98.6,-0.022,6508.7,2201
465,NCR,34000,-33,6405,-0.017,-88,-1.379,7761,3245.9
466,iHeartMedia,18300,-14,6325.8,0.026,-201.9,-,12269.5,97.4
467,Franklin Resources,9691,-26,6319.1,-0.011,764.4,-0.549,14383.5,16885.2
468,Ameren,8838,-15,6291,0.018,815,0.558,27215,18050.6
469,Intercontinental Exchange,5161,8,6276,0.076,1988,-0.209,92791,43074.1
470,S&P Global,21200,-7,6258,0.032,1958,0.309,9458,51812.4
471,Post Holdings,11550,-,6257.2,0.197,467.3,8.675,13057.5,7274.6
472,Analog Devices,15800,-,6200.9,0.214,1495.4,1.056,20449.8,38772.4
473,Ralph Lauren,18150,-52,6182.3,-0.071,162.8,-,6143.3,10195.7
474,Harris,17500,-67,6182,-0.109,718,0.298,9839,18839.5
475,Booz Allen Hamilton,24600,7,6171.9,0.063,305.1,0.208,3603.4,8144.4
476,Polaris Industries,12000,20,6166,0.12,335.3,0.944,4124.9,5152.9
477,Clorox,8700,-9,6124,0.025,823,0.174,5060,20565.2
478,Realogy Holdings,11400,-20,6079,-0.006,137,-0.682,7290,1301.9
479,HD Supply Holdings,11500,-49,6047,-0.075,394,-0.594,4233,7402.1
480,Graphic Packaging Holding,18000,-,6023,0.368,221.1,-0.263,7059.2,3733.3
481,Old Republic International,9000,-31,6021.8,-0.039,370.5,-0.339,19327.1,6334.1
482,Intuit,8900,-,5964,0.152,1211,0.247,5178,67724.3
483,NetApp,10300,12,5911,0.071,76,-0.851,9865,17125.2
484,Tapestry,16900,-,5880,0.31,397.5,-0.327,6678.3,9421.4
485,ON Semiconductor,35700,7,5878.3,0.06,627.4,-0.226,7587.6,8474.8
486,Ingredion,11000,-8,5841,0.002,443,-0.146,5728,6312.7
487,Zoetis,10000,-,5825,0.098,1428,0.653,10777,48198
488,Fiserv,24000,-1,5823,0.022,1187,-0.047,11262,34603.1
489,TreeHouse Foods,12700,-43,5812.1,-0.078,-61.4,-,5599.3,3614.1
490,Robert Half International,18900,-,5800.3,0.101,434.3,0.495,1903.1,7759.2
491,First American Financial,18251,-8,5747.8,-0.004,474.5,0.122,10630.6,5765.3
492,Harley-Davidson,5900,-4,5716.9,0.012,531.5,0.019,10665.7,5670.7
493,Windstream Holdings,11945,-19,5713.1,-0.024,-723,-,10257.9,12.9
494,Yum Brands,34000,-22,5688,-0.032,1542,0.151,4130,30583.2
495,Williams-Sonoma,19800,-,5671.6,0.072,333.7,0.286,2812.8,4434.8
496,Simon Property Group,4150,-3,5657.9,0.022,2440.1,0.253,30686.2,56301.7
497,Navient,6500,-,5610,0.083,395,0.353,104176,2828.9
498,Western Union,12000,-4,5589.9,0.012,851.9,-,8996.8,8050.9
499,Peabody Energy,7400,-8,5581.8,0.001,646.9,-,7423.7,3065.6
500,Levi Strauss,15100,-,5575.4,0.137,283.1,0.006,3542.7,9207.8
